Eldon Base for stackable storage shelf platinum,Muhammed MacIntyre,3,-213.25,38.94,35,Nunavut,Storage & Organization,0.8
1.7 Cubic Foot Compact Cube Office Refrigerators,Barry French,293,457.81,208.16,68.02,Nunavut,Appliances,0.58
Cardinal Slant-D® Ring Binder Heavy Gauge Vinyl,Barry French,293,46.71,8.69,2.99,Nunavut,Binders and Binder Accessories,0.39
R380,Clay Rozendal,483,1198.97,195.99,3.99,Nunavut,Telephones and Communication,0.58
Holmes HEPA Air Purifier,Carlos Soltero,515,30.94,21.78,5.94,Nunavut,Appliances,0.5
G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Carlos Soltero,515,4.43,6.64,4.95,Nunavut,Office Furnishings,0.37
Angle-D Binders with Locking Rings Label Holders,Carl Jackson,613,-54.04,7.3,7.72,Nunavut,Binders and Binder Accessories,0.38
SAFCO Mobile Desk Side File Wire Frame,Carl Jackson,613,127.7,42.76,6.22,Nunavut,Storage & Organization,0.5
SAFCO Commercial Wire Shelving Black,Monica Federle,643,-695.26,138.14,35,Nunavut,Storage & Organization,0.37
Xerox 198,Dorothy Badders,678,-226.36,4.98,8.33,Nunavut,Paper,0.38
Xerox 1980,Neola Schneider,807,-166.85,4.28,6.18,Nunavut,Paper,0.4
Advantus Map Pennant Flags and Round Head Tacks,Neola Schneider,807,-14.33,3.95,2,Nunavut,Rubber Bands,0.53
Holmes HEPA Air Purifier,Carlos Daly,868,134.72,21.78,5.94,Nunavut,Appliances,0.5
DS/HD IBM Formatted Diskettes 200/Pack - Staples,Carlos Daly,868,114.46,47.98,3.61,Nunavut,Computer Peripherals,0.71
Wilson Jones 1 Hanging DublLock® Ring Binders,Claudia Miner,933,-4.72,5.28,2.99,Nunavut,Binders and Binder Accessories,0.37
Ultra Commercial Grade Dual Valve Door Closer,Neola Schneider,995,782.91,39.89,3.04,Nunavut,Office Furnishings,0.53
#10-4 1/8 x 9 1/2 Premium Diagonal Seam Envelopes,Allen Rosenblatt,998,93.8,15.74,1.39,Nunavut,Envelopes,0.4
Hon 4-Shelf Metal Bookcases,Sylvia Foulston,1154,440.72,100.98,26.22,Nunavut,Bookcases,0.6
Lesro Sheffield Collection Coffee Table End Table Center Table Corner Table,Sylvia Foulston,1154,-481.04,71.37,69,Nunavut,Tables,0.68
g520,Jim Radford,1344,-11.68,65.99,5.26,Nunavut,Telephones and Communication,0.59
